ticker,base,quote,exchange,price,ask,bid,spread,volume
eth-BTC,eth,BTC,binance,0.027638,0.027644,0.027643,9.999999999975306e-07,279253.407
ltc-BTC,ltc,BTC,binance,0.004982,0.004984,0.004983,1.0000000000001327e-06,728209.65
bnb-BTC,bnb,BTC,binance,0.0014109,0.0014112,0.0014107,5.000000000000664e-07,1343543.18
neo-BTC,neo,BTC,binance,0.000753,0.000754,0.000753,1.0000000000000243e-06,204451.17
qtum-eth,qtum,eth,binance,0.004268,0.004282,0.004262,2.0000000000000052e-05,17152.88
eos-eth,eos,eth,binance,0.004686,0.004702,0.004695,6.999999999999194e-06,957855.71
snt-eth,snt,eth,binance,5.723e-05,5.743e-05,5.699e-05,4.399999999999958e-07,1037836.0
bnt-eth,bnt,eth,binance,0.002097,0.002098,0.002091,7.000000000000062e-06,476228.69
bcc-BTC,bcc,BTC,binance,0.079081,0.0,0.0,0.0,0.026
gas-BTC,gas,BTC,binance,7.51e-05,7.55e-05,7.5e-05,5.000000000000122e-07,471628.33
bnb-eth,bnb,eth,binance,0.051058,0.051057,0.05102,3.699999999999537e-05,167107.62
btc-usd,btc,usd,binance,23360.37,23360.37,23360.36,0.00999999999839929,89561.994538
eth-usd,eth,usd,binance,645.77,645.77,645.76,0.009999999999990905,898632.52771
hsr-BTC,hsr,BTC,binance,0.000414,0.0,0.0,0.0,2.92
oax-eth,oax,eth,binance,0.0001778,0.0,0.0,0.0,16.0
dnt-eth,dnt,eth,binance,2.801e-05,0.0,0.0,0.0,124.0
mco-eth,mco,eth,binance,0.005772,0.0,0.0,0.0,9.19
icn-eth,icn,eth,binance,0.001663,0.0,0.0,0.0,1.0
mco-BTC,mco,BTC,binance,0.0002114,0.0,0.0,0.0,1.65
wtc-BTC,wtc,BTC,binance,1.51e-05,1.51e-05,1.5e-05,9.999999999999904e-08,1407635.91
wtc-eth,wtc,eth,binance,0.000544,0.000545,0.000542,3.000000000000073e-06,52740.32
lrc-BTC,lrc,BTC,binance,7.32e-06,7.33e-06,7.31e-06,1.999999999999981e-08,6037630.0
lrc-eth,lrc,eth,binance,0.00026504,0.00026517,0.0002639,1.269999999999993e-06,564060.0
qtum-BTC,qtum,BTC,binance,0.0001181,0.0001182,0.000118,2.0000000000000486e-07,1099990.23
yoyo-BTC,yoyo,BTC,binance,5e-07,5.1e-07,5e-07,1.000000000000001e-08,210910180.0
omg-BTC,omg,BTC,binance,0.0001379,0.0001381,0.0001379,2.0000000000000486e-07,967312.67
omg-eth,omg,eth,binance,0.004994,0.005001,0.004983,1.8000000000000654e-05,70123.2
zrx-BTC,zrx,BTC,binance,1.784e-05,1.786e-05,1.782e-05,3.999999999999962e-08,1888920.0
zrx-eth,zrx,eth,binance,0.00064739,0.00064758,0.00064235,5.230000000000057e-06,67621.0
strat-BTC,strat,BTC,binance,3.085e-05,0.0,0.0,0.0,2064727.0
strat-eth,strat,eth,binance,0.001053,0.0,0.0,0.0,177384.34
sngls-BTC,sngls,BTC,binance,2e-07,2.1e-07,2e-07,1.000000000000001e-08,28199357.0
sngls-eth,sngls,eth,binance,5.306e-05,0.0,0.0,0.0,207.0
bqx-BTC,bqx,BTC,binance,6.46e-06,6.48e-06,6.44e-06,3.999999999999962e-08,8177450.0
bqx-eth,bqx,eth,binance,0.0002354,0.0002355,0.0002327,2.800000000000014e-06,1175385.0
